KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
0,397.911,7249.414,870.326,870.326,0,0,263.964,172.885,190.488,1925.081,102.713,2808.359,883.004,85.902,85.993,72.54,0,0,0,0,0,0,0,0,1735.66,2
162.393,1860.767,2105.934,1118.473,471.251,647.222,0,621.171,0,15.159,160.173,30.716,574.523,629.069,478.915,0,122.801,100.73,0,0,0,0,0,0,0,473.18,1
1711.031,4244.508,2030.76,880.007,849.192,30.816,752.176,156.065,69.23,15.824,166.815,0,580.82,601.066,189.494,84.209,32.287,251.146,0,66.899,0,0,0,0,0,544.361,2
0,0,0,633.237,633.237,0,0,36.533,42.193,37.289,383.947,34.262,1895.407,484.521,297.008,0,167.75,0,0,35.142,0,0,0,0,0,862.987,1
1039.311,1321.301,2015.41,922.561,922.561,0,0,227.477,67.984,59.582,760.115,120.089,1310.621,1077.948,101.169,52.109,18.84,62.169,0,138.407,0,0,0,0,0,323.207,1
0,4681.917,0,987.508,987.508,0,0,0,684.607,48.548,0,31.416,166.384,536.359,281.996,171.597,0,224.143,0,0,0,0,0,0,0,750.116,1
1265.063,4180.8,2064.689,479.302,479.302,0,0,224.567,172.914,88.86,994.095,0,94.384,424.935,190.382,15,20.226,184.14,0,0,0,0,0,0,0,396.317,1
199.206,670.284,7141.938,708.265,708.265,0,290.993,0,492.224,86.977,1134.252,0,357.816,770.139,248.245,60.387,58.563,0,0,0,0,0,0,0,0,745.764,3
0,2334.373,0,503.373,503.373,0,0,0,10.288,13.972,183.452,70.991,2066.072,1175.661,579.079,0,689.989,111.455,0,417.187,0,0,0,0,0,1228.671,1
2468.866,997.757,6341.757,600.992,600.992,0,505.414,212.028,98.965,31.705,327.244,0,1214.026,562.183,69.953,69.952,551.148,54.89,0,87.422,0,0,0,0,0,463.604,3
0,1299.044,0,858.031,529.422,328.609,478.279,0,142.272,52.838,0,127.754,1262.04,699.629,116.594,53.448,684.43,71.941,0,421.143,0,0,0,0,0,950.501,2
0,933.395,1245.928,478.401,478.401,0,0,0,280.828,45.282,0,0,584.338,352.78,251.781,77.551,0,47.349,0,13.53,1856.683,0,0,0,0,633.485,1
954.524,5346.991,2771.816,588.916,588.916,0,0,252.692,252.987,34.009,857.608,156.227,636.236,861.805,316.566,70.569,24.666,259.404,0,58.606,0,0,0,0,0,741.997,1
2724.558,1355.26,3072.29,753.703,753.703,0,1112.193,427.006,198.078,38.189,489.11,95.087,695,667.746,312.993,159.746,474.361,77.399,0,513.423,343.094,135.878,0,0,0,806.625,3
0,0,0,176.769,176.769,0,0,329.608,0,0,0,0,111.203,517.113,117.875,0,62.693,0,0,0,0,0,0,0,0,1021.614,2
0,419.398,2490.599,532.008,532.008,0,0,90.843,252.026,33.188,341.931,31.774,1023.484,398.002,160.767,0,563.659,22.709,0,189.534,549.559,311.125,0,0,0,597.065,3
8195.182,139.996,3165.703,799.784,799.784,0,0,156.699,297.364,24.184,491.021,210.434,864.928,1076.053,225.311,76.838,0,0,0,317.877,0,0,0,0,0,983.474,3
740.68,2830.183,2463.398,537.385,537.385,0,0,202.992,68.601,61.641,630.093,65.181,2258.953,1043.566,176.971,69.603,12.543,139.496,0,233.749,0,0,0,0,0,762.914,1
0,537.43,0,574.619,574.619,0,0,77.171,30.645,36.735,378.535,72.127,451.048,1144.326,734.23,82.744,67.774,22.706,0,0,0,0,0,0,0,2229.887,1
0,206.365,0,565.213,565.213,0,675.216,0,75.86,56.401,434.328,62.025,489.803,503.898,184.275,0,64.409,14.809,0,140.448,541.786,122.894,0,0,0,587.91,1
1009.136,656.337,4325.686,217.331,217.331,0,0,232.448,196.8,87.39,1110.978,207.975,4128.807,486.68,260.233,33.03,520.448,31.031,0,0,0,0,0,0,0,1865.631,1
0,200.941,0,1307.365,752.181,555.185,488.453,181.739,236.755,62.919,642.575,94.305,2121.032,593.12,108.888,103.455,168.167,9.219,0,412.401,1326.452,427.317,0,0,0,1057.292,1
0,0,0,579.359,579.359,0,494.234,0,137.541,37.854,0,122.668,620.178,431.218,113.782,39.73,265.94,0,1139.9,439.269,0,0,0,0,0,762.494,1
0,3922.493,0,545.952,545.952,0,0,208.183,81.144,84.807,863.312,68.655,1415.365,0,0,0,210.916,207.061,0,795.327,0,0,0,0,0,604.423,1
572.225,1680.526,0,295.915,295.915,0,263.576,0,146.796,39.405,0,149.945,2355.392,881.078,276.816,52.343,46.82,0,0,161.899,1894.603,0,0,0,0,549.048,1
0,2887.243,0,1418.807,788.019,630.787,0,728.292,31.784,94.169,957.959,232.757,491.274,181.795,71.084,0,1066.091,144.132,0,0,0,267.768,0,0,0,1264.681,1
0,1439.463,0,238.178,238.178,0,463.122,92.269,74.008,88.305,991.859,0,41.705,57.627,36.73,20.979,488.706,68.93,0,0,0,0,0,0,0,2273.882,1
0,233.287,2155.511,245.159,245.159,0,0,458.264,205.101,55.842,627.841,93.625,876.167,628.013,173.847,173.847,117.713,10.421,0,49.764,0,0,0,0,0,939.793,1
1178.672,1167.79,0,630.517,630.517,0,0,319.916,167.442,0,2139.629,717.623,521.84,742.243,114.732,72.533,0,54.935,0,21.006,0,0,0,0,0,567.555,1
2318.385,451.671,4171.861,491.887,491.887,0,0,20.385,195.061,150.834,2017.691,0,286.739,630.2,291.644,114.929,37.919,19.849,0,0,0,0,0,0,0,400.447,1
0,4069.904,0,783.525,783.525,0,0,227.607,213.517,106.972,1358.545,168.642,1048.01,1225.363,488.027,245.706,514.649,221.004,0,717.227,0,0,0,0,0,3409.567,1
6183.766,1815.616,2784.956,539.931,539.931,0,0,285.647,148.801,12.81,168.705,66.405,650.057,663.343,110.574,102.256,129.761,109.492,0,532.535,0,0,0,0,0,561.248,3
0,5791.324,0,731.99,731.99,0,0,0,103.192,26.639,540.992,99.246,515.349,963.8,198.523,36.781,434.529,320.004,0,435.944,0,0,0,0,0,1156.12,1
4068.925,5174.58,1238.36,617.82,617.82,0,0,73.899,66.668,57.761,648.713,165.724,2108.784,608.045,270.413,15.577,80.291,259.552,0,309.109,0,0,0,0,0,711.769,2
